"Industry","region.that.adds","Region","RD","RD.added","full","share.from.full","binary","share.from.bin","pc","sum.from","sum.to","thmax","thmaxpc","expected","untapped","link.rca","name","parent","reg","dutch.reg","id","untapped.com","value"
"E-health","ITF1","west",4736.7333,5.4279,0,0,0,0,0,13,2,7.5,0.0013,0.0497,-0.0497,0,"Abruzzo","Gezondheid","west","west","ITF1",37.6543,37.6543
"E-health","DEA4","west",4736.7333,4.4923,0,0,0,0,0,13,1,7,0.0012,0.0464,-0.0464,0,"Detmold","Gezondheid","west","west","DEA4",36.7284,36.7284
"E-health","CH02","west",4736.7333,21.3395,0,0,0,0,0,57,13,35,0.0061,0.232,-0.232,0,"Espace Mittelland","Gezondheid","west","west","CH02",66.6667,66.6667
"E-health","SE31","west",4736.7333,4.0377,0,0,0,0,0,13,1,7,0.0012,0.0464,-0.0464,0,"Norra Mellansverige","Gezondheid","west","west","SE31",34.2593,34.2593
"E-health","BE10","west",4736.7333,17.5797,0,0,0,0,0,20,13,16.5,0.0029,0.1094,-0.1094,0,"Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Gezondheid","west","west","BE10",61.214,61.214
"E-health","UKH1","west",4736.7333,55.7059,0,0,0,0,0,77,13,45,0.0079,0.2983,-0.2983,0,"East Anglia","Gezondheid","west","west","UKH1",94.4444,94.4444
"E-health","HU22","west",4736.7333,41.9133,0,0,0,0,0,13,24,18.5,0.0032,0.1226,-0.1226,0,"Nyugat-Dunántúl","Gezondheid","west","west","HU22",82.716,82.716
"E-health","PL51","west",4736.7333,6.3326,0,0,0,0,0,2,13,7.5,0.0013,0.0497,-0.0497,0,"Dolnośląskie","Gezondheid","west","west","PL51",40.1235,40.1235
"E-health","ITF4","west",4736.7333,22.5372,0,0,0,0,0,13,2,7.5,0.0013,0.0497,-0.0497,0,"Puglia","Gezondheid","west","west","ITF4",68.2099,68.2099
"E-health","SK03","west",4736.7333,48.3982,0,0,0,0,0,13,4,8.5,0.0015,0.0563,-0.0563,0,"Stredné Slovensko","Gezondheid","west","west","SK03",87.3457,87.3457
"E-health","ITH1","west",4736.7333,14.991,0,0,0,0,0,13,1,7,0.0012,0.0464,-0.0464,0,"Provincia Autonoma di Bolzano/Bozen","Gezondheid","west","west","ITH1",57.9218,57.9218
"E-health","PL22","west",4736.7333,25.4405,0,0,0,0,0,13,4,8.5,0.0015,0.0563,-0.0563,0,"Śląskie","Gezondheid","west","west","PL22",69.7531,69.7531
"E-health","DEA1","west",4736.7333,3.68,0,0,0,0,0,67,13,40,0.007,0.2652,-0.2652,0,"Düsseldorf","Gezondheid","west","west","DEA1",33.0247,33.0247
"E-health","HU21","west",4736.7333,13.2744,0,0,0,0,0,13,1,7,0.0012,0.0464,-0.0464,0,"Közép-Dunántúl","Gezondheid","west","west","HU21",54.5267,54.5267
"E-health","FR81","west",4736.7333,51.4044,0,0,0,0,0,27,13,20,0.0035,0.1326,-0.1326,0,"Languedoc-Roussillon","Gezondheid","west","west","FR81",90.7407,90.7407
"E-health","ITI1","west",4736.7333,23.4649,0,0,0,0,0,13,6,9.5,0.0017,0.063,-0.063,0,"Toscana","Gezondheid","west","west","ITI1",68.8272,68.8272
"E-health","DK02","west",4736.7333,19.4662,0,0,0,0,0,7,13,10,0.0018,0.0663,-0.0663,0,"Sjælland","Gezondheid","west","west","DK02",63.8889,63.8889
"E-health","ES11","west",4736.7333,3.2787,0,0,0,0,0,13,1,7,0.0012,0.0464,-0.0464,0,"Galicia","Gezondheid","west","west","ES11",32.0988,32.0988
"E-health","DEC0","west",4736.7333,53.2587,0,0,0,0,0,9,13,11,0.0019,0.0729,-0.0729,0,"Saarland","Gezondheid","west","west","DEC0",93.2099,93.2099
"E-health","UKE2","west",4736.7333,42.6374,0,0,0,0,0,13,4,8.5,0.0015,0.0563,-0.0563,0,"North Yorkshire","Gezondheid","west","west","UKE2",83.9506,83.9506
"E-health","PT17","west",4736.7333,60.8662,0,0,0,0,0,13,13,13,0.0023,0.0862,-0.0862,0,"Lisboa","Gezondheid","west","west","PT17",97.5309,97.5309
"E-health","DE11","west",4736.7333,11.5287,0,0,0,0,0,56,13,34.5,0.0061,0.2287,-0.2287,0,"Stuttgart","Gezondheid","west","west","DE11",51.4403,51.4403
"E-health","RO11","west",4736.7333,52.0844,0,0,0,0,0,13,2,7.5,0.0013,0.0497,-0.0497,0,"Nord-Vest","Gezondheid","west","west","RO11",91.9753,91.9753
"E-health","BE32","west",4736.7333,3.3431,0,0,0,0,0,13,0,6.5,0.0011,0.0431,-0.0431,0,"Prov. Hainaut","Gezondheid","west","west","BE32",32.4074,32.4074
"E-health","BG33","west",4736.7333,40.07,0,0,0,0,0,13,0,6.5,0.0011,0.0431,-0.0431,0,"Severoiztochen","Gezondheid","west","west","BG33",80.8642,80.8642
"E-health","UKE1","west",4736.7333,48.8995,0,0,0,0,0,13,10,11.5,0.002,0.0762,-0.0762,0,"East Yorkshire and Northern Lincolnshire","Gezondheid","west","west","UKE1",87.963,87.963
"E-health","FR82","west",4736.7333,52.6564,0,0,0,0,0,35,13,24,0.0042,0.1591,-0.1591,0,"Provence-Alpes-Côte d'Azur","Gezondheid","west","west","FR82",92.9012,92.9012
"E-health","DK01","west",4736.7333,52.0377,0,0,0,0,0,80,13,46.5,0.0082,0.3082,-0.3082,0,"Hovedstaden","Gezondheid","west","west","DK01",91.6667,91.6667
"E-health","NO05","west",4736.7333,4.37,0,0,0,0,0,13,5,9,0.0016,0.0597,-0.0597,0,"Vestlandet","Gezondheid","west","west","NO05",35.8025,35.8025
"E-health","BE23","west",4736.7333,6.2823,2,8.6957,1,7.6923,0.0265,21,13,17,0.003,0.1127,0.8873,8.875,"Prov. Oost-Vlaanderen","Gezondheid","west","west","BE23",4.9383,4.9383
"E-health","DE40","west",4736.7333,25.5997,0,0,0,0,0,18,13,15.5,0.0027,0.1027,-0.1027,0,"Brandenburg","Gezondheid","west","west","DE40",70.0617,70.0617
"E-health","NL33","west",7697.1917,15.95,4,17.3913,3,23.0769,0.0794,12,13,12.5,0.0022,0.0828,2.9172,36.2122,"Zuid-Holland","Gezondheid","west","west","NL33",22.8395,22.8395
"E-health","FR63","west",4736.7333,21.1264,0,0,0,0,0,13,1,7,0.0012,0.0464,-0.0464,0,"Limousin","Gezondheid","west","west","FR63",66.0494,66.0494
"E-health","FR22","west",4736.7333,2.9254,0,0,0,0,0,1,13,7,0.0012,0.0464,-0.0464,0,"Picardie","Gezondheid","west","west","FR22",31.1728,31.1728
"E-health","AT31","west",4736.7333,3.08,0,0,0,0,0,4,13,8.5,0.0015,0.0563,-0.0563,0,"Oberösterreich","Gezondheid","west","west","AT31",31.4815,31.4815
"E-health","DE14","west",4736.7333,18.4856,0,0,0,0,0,34,13,23.5,0.0041,0.1558,-0.1558,0,"Tübingen","Gezondheid","west","west","DE14",62.963,62.963
"E-health","UKJ4","west",4736.7333,14.711,0,0,0,0,0,2,13,7.5,0.0013,0.0497,-0.0497,0,"Kent","Gezondheid","west","west","UKJ4",56.9959,56.9959
"E-health","DED5","west",4736.7333,38.4692,0,0,0,0,0,12,13,12.5,0.0022,0.0828,-0.0828,0,"Leipzig","Gezondheid","west","west","DED5",79.0123,79.0123
"E-health","UKJ2","west",4736.7333,34.3903,0,0,0,0,0,19,13,16,0.0028,0.1061,-0.1061,0,"Surrey, East and West Sussex","Gezondheid","west","west","UKJ2",76.8519,76.8519
"E-health","CH01","west",4736.7333,63.81,0,0,0,0,0,97,13,55,0.0097,0.3646,-0.3646,0,"Région lémanique","Gezondheid","west","west","CH01",98.4568,98.4568
"E-health","PL61","west",4736.7333,44.5203,0,0,0,0,0,13,2,7.5,0.0013,0.0497,-0.0497,0,"Kujawsko-Pomorskie","Gezondheid","west","west","PL61",85.4938,85.4938
"E-health","DE24","west",4736.7333,50.2869,0,0,0,0,0,119,13,66,0.0116,0.4375,-0.4375,0,"Oberfranken","Gezondheid","west","west","DE24",89.1975,89.1975
"E-health","UKG2","west",4736.7333,10.4749,0,0,0,0,0,13,2,7.5,0.0013,0.0497,-0.0497,0,"Shropshire and Staffordshire","Gezondheid","west","west","UKG2",48.4568,48.4568
"E-health","DEA5","west",4736.7333,5.4128,0,0,0,0,0,15,13,14,0.0025,0.0928,-0.0928,0,"Arnsberg","Gezondheid","west","west","DEA5",37.3457,37.3457
"E-health","DE92","west",4736.7333,5.9585,0,0,0,0,0,16,13,14.5,0.0025,0.0961,-0.0961,0,"Hannover","Gezondheid","west","west","DE92",38.8889,38.8889
"E-health","BE31","west",4736.7333,13.809,0,0,0,0,0,13,4,8.5,0.0015,0.0563,-0.0563,0,"Prov. Brabant Wallon","Gezondheid","west","west","BE31",55.4527,55.4527
"E-health","DE22","west",4736.7333,6.28,0,0,0,0,0,13,0,6.5,0.0011,0.0431,-0.0431,0,"Niederbayern","Gezondheid","west","west","DE22",39.5062,39.5062
"E-health","DK03","west",4736.7333,3.7354,0,0,0,0,0,5,13,9,0.0016,0.0597,-0.0597,0,"Syddanmark","Gezondheid","west","west","DK03",33.3333,33.3333
"E-health","UKD4","west",4736.7333,49.7741,0,0,0,0,0,44,13,28.5,0.005,0.1889,-0.1889,0,"Lancashire","Gezondheid","west","west","UKD4",88.8889,88.8889
"E-health","AT34","west",4736.7333,6.3331,0,0,0,0,0,13,6,9.5,0.0017,0.063,-0.063,0,"Vorarlberg","Gezondheid","west","west","AT34",40.4321,40.4321
"E-health","DE91","west",4736.7333,21.6215,0,0,0,0,0,13,13,13,0.0023,0.0862,-0.0862,0,"Braunschweig","Gezondheid","west","west","DE91",66.9753,66.9753
"E-health","AT21","west",4736.7333,11.3331,0,0,0,0,0,2,13,7.5,0.0013,0.0497,-0.0497,0,"Kärnten","Gezondheid","west","west","AT21",50.2058,50.2058
"E-health","DEF0","west",4736.7333,21.6526,0,0,0,0,0,31,13,22,0.0039,0.1458,-0.1458,0,"Schleswig-Holstein","Gezondheid","west","west","DEF0",67.284,67.284
"E-health","UKK3","west",4736.7333,33.1526,0,0,0,0,0,13,2,7.5,0.0013,0.0497,-0.0497,0,"Cornwall and Isles of Scilly","Gezondheid","west","west","UKK3",75.6173,75.6173
"E-health","ITI2","west",4736.7333,4.1854,0,0,0,0,0,13,1,7,0.0012,0.0464,-0.0464,0,"Umbria","Gezondheid","west","west","ITI2",35.1852,35.1852
"E-health","PT16","west",4736.7333,32.5941,0,0,0,0,0,4,13,8.5,0.0015,0.0563,-0.0563,0,"Centro (PT)","Gezondheid","west","west","PT16",75.3086,75.3086
"E-health","DEG0","west",4736.7333,36.0769,0,0,0,0,0,12,13,12.5,0.0022,0.0828,-0.0828,0,"Thüringen","Gezondheid","west","west","DEG0",77.1605,77.1605
"E-health","NO01","west",4736.7333,33.72,0,0,0,0,0,13,7,10,0.0018,0.0663,-0.0663,0,"Oslo og Akershus","Gezondheid","west","west","NO01",75.9259,75.9259
"E-health","PL63","west",4736.7333,14.24,0,0,0,0,0,13,1,7,0.0012,0.0464,-0.0464,0,"Pomorskie","Gezondheid","west","west","PL63",56.3786,56.3786
"E-health","NO04","west",4736.7333,8.3013,0,0,0,0,0,13,1,7,0.0012,0.0464,-0.0464,0,"Agder og Rogaland","Gezondheid","west","west","NO04",44.7531,44.7531
"E-health","FR51","west",4736.7333,6.9782,0,0,0,0,0,7,13,10,0.0018,0.0663,-0.0663,0,"Pays de la Loire","Gezondheid","west","west","FR51",41.6667,41.6667
"E-health","BE33","west",4736.7333,8.2656,0,0,0,0,0,13,11,12,0.0021,0.0796,-0.0796,0,"Prov. Liège","Gezondheid","west","west","BE33",44.4444,44.4444
"E-health","UKN0","west",4736.7333,51.6797,0,0,0,0,0,13,6,9.5,0.0017,0.063,-0.063,0,"Northern Ireland","Gezondheid","west","west","UKN0",91.358,91.358
"E-health","CH07","west",4736.7333,42.4169,0,0,0,0,0,15,13,14,0.0025,0.0928,-0.0928,0,"Ticino","Gezondheid","west","west","CH07",83.642,83.642
"E-health","ES61","west",4736.7333,16.5218,0,0,0,0,0,13,4,8.5,0.0015,0.0563,-0.0563,0,"Andalucía","Gezondheid","west","west","ES61",59.6708,59.6708
"E-health","UKH3","west",4736.7333,18.0072,0,0,0,0,0,13,2,7.5,0.0013,0.0497,-0.0497,0,"Essex","Gezondheid","west","west","UKH3",61.8313,61.8313
"E-health","NL11","west",4736.7333,44.7767,0,0,0,0,0,13,6,9.5,0.0017,0.063,-0.063,0,"Groningen","Gezondheid","west","west","NL11",85.8025,85.8025
"E-health","CZ05","west",4736.7333,19.9972,0,0,0,0,0,13,1,7,0.0012,0.0464,-0.0464,0,"Severovýchod","Gezondheid","west","west","CZ05",64.5062,64.5062
"E-health","FR71","west",4736.7333,16.2577,0,0,0,0,0,74,13,43.5,0.0076,0.2883,-0.2883,0,"Rhône-Alpes","Gezondheid","west","west","FR71",58.7449,58.7449
"E-health","SE23","west",4736.7333,8.4674,0,0,0,0,0,11,13,12,0.0021,0.0796,-0.0796,0,"Västsverige","Gezondheid","west","west","SE23",45.0617,45.0617
"E-health","UKD7","west",4736.7333,12.0808,0,0,0,0,0,13,7,10,0.0018,0.0663,-0.0663,0,"Merseyside","Gezondheid","west","west","UKD7",52.3663,52.3663
"E-health","ITF5","west",4736.7333,52.1262,0,0,0,0,0,13,1,7,0.0012,0.0464,-0.0464,0,"Basilicata","Gezondheid","west","west","ITF5",92.284,92.284
"E-health","ITF6","west",4736.7333,51.2251,0,0,0,0,0,13,3,8,0.0014,0.053,-0.053,0,"Calabria","Gezondheid","west","west","ITF6",90.4321,90.4321
"E-health","NL42","west",4736.7333,4.3215,4,17.3913,2,15.3846,0.053,12,13,12.5,0.0022,0.0828,1.9172,24.1415,"Limburg (NL)","Gezondheid","west","west","NL42",0,0
"E-health","UKG3","west",4736.7333,14.9844,0,0,0,0,0,13,8,10.5,0.0018,0.0696,-0.0696,0,"West Midlands","Gezondheid","west","west","UKG3",57.6132,57.6132
"E-health","DE72","west",4736.7333,8.9187,0,0,0,0,0,6,13,9.5,0.0017,0.063,-0.063,0,"Gießen","Gezondheid","west","west","DE72",47.2222,47.2222
"E-health","AT13","west",4736.7333,47.1895,0,0,0,0,0,35,13,24,0.0042,0.1591,-0.1591,0,"Wien","Gezondheid","west","west","AT13",86.7284,86.7284
"E-health","DEA2","west",4736.7333,11.4069,0,0,0,0,0,77,13,45,0.0079,0.2983,-0.2983,0,"Köln","Gezondheid","west","west","DEA2",50.5144,50.5144
"E-health","SI03","west",4736.7333,11.7036,0,0,0,0,0,13,3,8,0.0014,0.053,-0.053,0,"Zahodna Slovenija","Gezondheid","west","west","SI03",51.749,51.749
"E-health","RO32","west",4736.7333,63.5118,0,0,0,0,0,6,13,9.5,0.0017,0.063,-0.063,0,"Bucureşti - Ilfov","Gezondheid","west","west","RO32",98.1481,98.1481
"E-health","PL11","west",4736.7333,20.1008,0,0,0,0,0,1,13,7,0.0012,0.0464,-0.0464,0,"Łódzkie","Gezondheid","west","west","PL11",64.8148,64.8148
"E-health","BG41","west",4736.7333,42.7136,0,0,0,0,0,13,2,7.5,0.0013,0.0497,-0.0497,0,"Yugozapaden","Gezondheid","west","west","BG41",84.2593,84.2593
"E-health","UKM2","west",4736.7333,59.3892,0,0,0,0,0,32,13,22.5,0.004,0.1492,-0.1492,0,"Eastern Scotland","Gezondheid","west","west","UKM2",96.9136,96.9136
"E-health","CH05","west",4736.7333,20.6164,0,0,0,0,0,30,13,21.5,0.0038,0.1425,-0.1425,0,"Ostschweiz","Gezondheid","west","west","CH05",65.4321,65.4321
"E-health","FRY2","west",4736.7333,39.2023,0,0,0,0,0,13,0,6.5,0.0011,0.0431,-0.0431,0,"Martinique","Gezondheid","west","west","FRY2",79.6296,79.6296
"E-health","AT33","west",4736.7333,18.3426,0,0,0,0,0,10,13,11.5,0.002,0.0762,-0.0762,0,"Tirol","Gezondheid","west","west","AT33",62.6543,62.6543
"E-health","UKH2","west",4736.7333,20.5895,0,0,0,0,0,16,13,14.5,0.0025,0.0961,-0.0961,0,"Bedfordshire and Hertfordshire","Gezondheid","west","west","UKH2",65.1235,65.1235
"E-health","SE22","west",4736.7333,28.5933,0,0,0,0,0,39,13,26,0.0046,0.1723,-0.1723,0,"Sydsverige","Gezondheid","west","west","SE22",71.9136,71.9136
"E-health","LT00","west",4736.7333,54.649,0,0,0,0,0,13,2,7.5,0.0013,0.0497,-0.0497,0,"Lietuva","Gezondheid","west","west","LT00",93.8272,93.8272
"E-health","SE12","west",4736.7333,12.5582,0,0,0,0,0,34,13,23.5,0.0041,0.1558,-0.1558,0,"Östra Mellansverige","Gezondheid","west","west","SE12",53.2922,53.2922
"E-health","ES41","west",4736.7333,13.0023,0,0,0,0,0,13,4,8.5,0.0015,0.0563,-0.0563,0,"Castilla y León","Gezondheid","west","west","ES41",53.9095,53.9095
"E-health","PT11","west",4736.7333,56.519,0,0,0,0,0,15,13,14,0.0025,0.0928,-0.0928,0,"Norte","Gezondheid","west","west","PT11",94.7531,94.7531
"E-health","UKE3","west",4736.7333,37.6097,0,0,0,0,0,13,6,9.5,0.0017,0.063,-0.063,0,"South Yorkshire","Gezondheid","west","west","UKE3",77.7778,77.7778
"E-health","ITG1","west",4736.7333,40.5426,0,0,0,0,0,13,6,9.5,0.0017,0.063,-0.063,0,"Sicilia","Gezondheid","west","west","ITG1",81.4815,81.4815
"E-health","FR25","west",4736.7333,24.4326,0,0,0,0,0,13,5,9,0.0016,0.0597,-0.0597,0,"Basse-Normandie","Gezondheid","west","west","FR25",69.4444,69.4444
"E-health","CH06","west",4736.7333,58.8792,0,0,0,0,0,63,13,38,0.0067,0.2519,-0.2519,0,"Zentralschweiz","Gezondheid","west","west","CH06",96.6049,96.6049
"E-health","LU00","west",4736.7333,16.4169,0,0,0,0,0,13,6,9.5,0.0017,0.063,-0.063,0,"Luxembourg","Gezondheid","west","west","LU00",59.3621,59.3621
"E-health","FR30","west",4736.7333,37.7459,0,0,0,0,0,18,13,15.5,0.0027,0.1027,-0.1027,0,"Nord - Pas-de-Calais","Gezondheid","west","west","FR30",78.0864,78.0864
"E-health","ES52","west",4736.7333,16.3528,0,0,0,0,0,13,10,11.5,0.002,0.0762,-0.0762,0,"Comunidad Valenciana","Gezondheid","west","west","ES52",59.0535,59.0535
"E-health","PL62","west",4736.7333,28.7679,0,0,0,0,0,2,13,7.5,0.0013,0.0497,-0.0497,0,"Warmińsko-Mazurskie","Gezondheid","west","west","PL62",72.5309,72.5309
"E-health","FI1C","west",4736.7333,8.6626,0,0,0,0,0,13,13,13,0.0023,0.0862,-0.0862,0,"Etelä-Suomi","Gezondheid","west","west","FI1C",45.9877,45.9877
"E-health","ES70","west",4736.7333,29.8431,0,0,0,0,0,13,1,7,0.0012,0.0464,-0.0464,0,"Canarias","Gezondheid","west","west","ES70",73.4568,73.4568
"E-health","CZ01","west",4736.7333,30.0021,0,0,0,0,0,13,2,7.5,0.0013,0.0497,-0.0497,0,"Praha","Gezondheid","west","west","CZ01",73.7654,73.7654
"E-health","DE93","west",4736.7333,6.7138,0,0,0,0,0,13,2,7.5,0.0013,0.0497,-0.0497,0,"Lüneburg","Gezondheid","west","west","DE93",41.358,41.358
"E-health","MT00","west",4736.7333,39.179,0,0,0,0,0,13,0,6.5,0.0011,0.0431,-0.0431,0,"Malta","Gezondheid","west","west","MT00",79.321,79.321
"E-health","BE22","west",4736.7333,21.2395,0,0,0,0,0,4,13,8.5,0.0015,0.0563,-0.0563,0,"Prov. Limburg (BE)","Gezondheid","west","west","BE22",66.358,66.358
"E-health","BE25","west",4736.7333,4.7715,0,0,0,0,0,16,13,14.5,0.0025,0.0961,-0.0961,0,"Prov. West-Vlaanderen","Gezondheid","west","west","BE25",37.037,37.037
"E-health","PT15","west",4736.7333,34.1377,0,0,0,0,0,13,1,7,0.0012,0.0464,-0.0464,0,"Algarve","Gezondheid","west","west","PT15",76.5432,76.5432
"E-health","ITC3","west",4736.7333,57.301,0,0,0,0,0,8,13,10.5,0.0018,0.0696,-0.0696,0,"Liguria","Gezondheid","west","west","ITC3",95.9877,95.9877
"E-health","NL22","west",4736.7333,4.4738,0,0,0,0,0,13,8,10.5,0.0018,0.0696,-0.0696,0,"Gelderland","Gezondheid","west","west","NL22",36.4198,36.4198
"E-health","DE21","west",4736.7333,21.9862,0,0,0,0,0,166,13,89.5,0.0157,0.5933,-0.5933,0,"Oberbayern","Gezondheid","west","west","DE21",67.5926,67.5926
"E-health","EL51","west",4736.7333,27.77,0,0,0,0,0,13,2,7.5,0.0013,0.0497,-0.0497,0,"Anatoliki Makedonia, Thraki","Gezondheid","west","west","EL51",70.9877,70.9877
"E-health","DE27","west",4736.7333,7.5146,0,0,0,0,0,12,13,12.5,0.0022,0.0828,-0.0828,0,"Schwaben","Gezondheid","west","west","DE27",42.5926,42.5926
"E-health","DED2","west",4736.7333,7.7503,0,0,0,0,0,13,4,8.5,0.0015,0.0563,-0.0563,0,"Dresden","Gezondheid","west","west","DED2",43.2099,43.2099
"E-health","SE33","west",4736.7333,17.1064,0,0,0,0,0,13,3,8,0.0014,0.053,-0.053,0,"Övre Norrland","Gezondheid","west","west","SE33",60.9053,60.9053
"E-health","AT12","west",4736.7333,14.39,0,0,0,0,0,21,13,17,0.003,0.1127,-0.1127,0,"Niederösterreich","Gezondheid","west","west","AT12",56.6872,56.6872
"E-health","FR61","west",4736.7333,8.5046,0,0,0,0,0,11,13,12,0.0021,0.0796,-0.0796,0,"Aquitaine","Gezondheid","west","west","FR61",45.679,45.679
"E-health","UKC2","west",4736.7333,6.6123,0,0,0,0,0,13,2,7.5,0.0013,0.0497,-0.0497,0,"Northumberland and Tyne and Wear","Gezondheid","west","west","UKC2",41.0494,41.0494
"E-health","ES24","west",4736.7333,5.7923,0,0,0,0,0,13,1,7,0.0012,0.0464,-0.0464,0,"Aragón","Gezondheid","west","west","ES24",38.2716,38.2716
"E-health","NO03","west",4736.7333,5.7518,0,0,0,0,0,13,0,6.5,0.0011,0.0431,-0.0431,0,"Sør-Østlandet","Gezondheid","west","west","NO03",37.963,37.963
"E-health","UKF1","west",4736.7333,2.8238,0,0,0,0,0,33,13,23,0.004,0.1525,-0.1525,0,"Derbyshire and Nottinghamshire","Gezondheid","west","west","UKF1",30.8642,30.8642
"E-health","HU10","west",4736.7333,45.7185,0,0,0,0,0,36,13,24.5,0.0043,0.1624,-0.1624,0,"Közép-Magyarország","Gezondheid","west","west","HU10",86.1111,86.1111
"E-health","SE21","west",4736.7333,12.7036,0,0,0,0,0,13,12,12.5,0.0022,0.0828,-0.0828,0,"Småland med öarna","Gezondheid","west","west","SE21",53.6008,53.6008
"E-health","UKI2","west",4736.7333,66.6972,0,0,0,0,0,39,13,26,0.0046,0.1723,-0.1723,0,"Outer London","Gezondheid","west","west","UKI2",99.6914,99.6914
"E-health","SK01","west",4736.7333,42.17,0,0,0,0,0,13,4,8.5,0.0015,0.0563,-0.0563,0,"Bratislavský kraj","Gezondheid","west","west","SK01",83.0247,83.0247
"E-health","FR62","west",4736.7333,3.2092,0,0,0,0,0,18,13,15.5,0.0027,0.1027,-0.1027,0,"Midi-Pyrénées","Gezondheid","west","west","FR62",31.7901,31.7901
"E-health","CZ06","west",4736.7333,9.1518,0,0,0,0,0,13,2,7.5,0.0013,0.0497,-0.0497,0,"Jihovýchod","Gezondheid","west","west","CZ06",47.5309,47.5309
"E-health","UKM6","west",4736.7333,49.5341,0,0,0,0,0,13,3,8,0.0014,0.053,-0.053,0,"Highlands and Islands","Gezondheid","west","west","UKM6",88.5802,88.5802
"E-health","RO42","west",4736.7333,43.4369,0,0,0,0,0,13,4,8.5,0.0015,0.0563,-0.0563,0,"Vest","Gezondheid","west","west","RO42",84.8765,84.8765
"E-health","AT22","west",4736.7333,11.0908,0,0,0,0,0,7,13,10,0.0018,0.0663,-0.0663,0,"Steiermark","Gezondheid","west","west","AT22",49.8971,49.8971
"E-health","DE26","west",4736.7333,12.2938,0,0,0,0,0,32,13,22.5,0.004,0.1492,-0.1492,0,"Unterfranken","Gezondheid","west","west","DE26",52.6749,52.6749
"E-health","DE71","west",4736.7333,39.9326,0,0,0,0,0,134,13,73.5,0.0129,0.4872,-0.4872,0,"Darmstadt","Gezondheid","west","west","DE71",80.5556,80.5556
"E-health","DEB1","west",4736.7333,11.5156,0,0,0,0,0,5,13,9,0.0016,0.0597,-0.0597,0,"Koblenz","Gezondheid","west","west","DEB1",50.823,50.823
"E-health","UKL1","west",4736.7333,27.1815,0,0,0,0,0,13,3,8,0.0014,0.053,-0.053,0,"West Wales and The Valleys","Gezondheid","west","west","UKL1",70.679,70.679
"E-health","UKM5","west",4736.7333,8.0615,0,0,0,0,0,13,6,9.5,0.0017,0.063,-0.063,0,"North Eastern Scotland","Gezondheid","west","west","UKM5",43.8272,43.8272
"E-health","ES22","west",4736.7333,29.5985,0,0,0,0,0,14,13,13.5,0.0024,0.0895,-0.0895,0,"Comunidad Foral de Navarra","Gezondheid","west","west","ES22",73.1481,73.1481
"E-health","ITC4","west",4736.7333,7.4962,0,0,0,0,0,37,13,25,0.0044,0.1657,-0.1657,0,"Lombardia","Gezondheid","west","west","ITC4",42.284,42.284
"E-health","ITI4","west",4736.7333,50.8203,0,0,0,0,0,10,13,11.5,0.002,0.0762,-0.0762,0,"Lazio","Gezondheid","west","west","ITI4",90.1235,90.1235
"E-health","EL54","west",4736.7333,40.071,0,0,0,0,0,13,0,6.5,0.0011,0.0431,-0.0431,0,"Thessalia","Gezondheid","west","west","EL54",81.1728,81.1728
"E-health","FR21","west",4736.7333,13.0113,0,0,0,0,0,13,1,7,0.0012,0.0464,-0.0464,0,"Champagne-Ardenne","Gezondheid","west","west","FR21",54.2181,54.2181
"E-health","RO22","west",4736.7333,32.5249,0,0,0,0,0,13,1,7,0.0012,0.0464,-0.0464,0,"Sud-Est","Gezondheid","west","west","RO22",75,75
"E-health","UKD6","west",4736.7333,37.8377,0,0,0,0,0,13,15,14,0.0025,0.0928,-0.0928,0,"Cheshire","Gezondheid","west","west","UKD6",78.3951,78.3951
"E-health","FR41","west",4736.7333,9.2082,0,0,0,0,0,13,4,8.5,0.0015,0.0563,-0.0563,0,"Lorraine","Gezondheid","west","west","FR41",47.8395,47.8395
"E-health","FR24","west",4736.7333,3.9938,0,0,0,0,0,13,4,8.5,0.0015,0.0563,-0.0563,0,"Centre","Gezondheid","west","west","FR24",33.9506,33.9506
"E-health","SI04","west",4736.7333,27.0872,0,0,0,0,0,13,4,8.5,0.0015,0.0563,-0.0563,0,"Vzhodna Slovenija","Gezondheid","west","west","SI04",70.3704,70.3704
"E-health","SE11","west",4736.7333,19.4,0,0,0,0,0,60,13,36.5,0.0064,0.242,-0.242,0,"Stockholm","Gezondheid","west","west","SE11",63.5802,63.5802
"E-health","ITH2","west",4736.7333,15.1838,0,0,0,0,0,13,3,8,0.0014,0.053,-0.053,0,"Provincia Autonoma di Trento","Gezondheid","west","west","ITH2",58.2305,58.2305
"E-health","ITH4","west",4736.7333,8.8413,0,0,0,0,0,13,4,8.5,0.0015,0.0563,-0.0563,0,"Friuli-Venezia Giulia","Gezondheid","west","west","ITH4",46.9136,46.9136
"E-health","FI19","west",4736.7333,21.1221,0,0,0,0,0,25,13,19,0.0033,0.1259,-0.1259,0,"Länsi-Suomi","Gezondheid","west","west","FI19",65.7407,65.7407
"E-health","UKL2","west",4736.7333,23.5554,0,0,0,0,0,13,0,6.5,0.0011,0.0431,-0.0431,0,"East Wales","Gezondheid","west","west","UKL2",69.1358,69.1358
"E-health","ES30","west",4736.7333,14.0244,0,0,0,0,0,24,13,18.5,0.0032,0.1226,-0.1226,0,"Comunidad de Madrid","Gezondheid","west","west","ES30",55.7613,55.7613
